area,group,plot,tree,common.name,scientific.name,family.name,DBH,type,dead,d.class,Hcom,Htot,RN,RS,RE,RW,dates,UTM.Easting,UTM.Northing
SAN_A02,2,7,75,freijo branco,Cordia scabrifolia,Boraginaceae,18.4,O,FALSE,NA,13.72,21.29,1.3,0.7,1.2,0.7,20141115,732133.3597,9634301.322
SAN_A02,2,7,76,inga vermelho,Inga alba,Fabaceae,14.5,O,FALSE,NA,12.3,19.05,0.5,4.2,2,0.6,20141115,732139.8711,9634297.722
SAN_A02,2,7,77,inga branco,Inga thibaudiana,Fabaceae,23,O,FALSE,NA,14.94,24.32,4,5.7,4.2,5.2,20141115,732143.2944,9634297.756
SAN_A02,2,7,78,inga vermelho,Inga alba,Fabaceae,13.5,O,FALSE,NA,10.7,12.26,1,4.2,1.2,1.7,20141115,732145.5303,9634297.232
SAN_A02,2,7,79,inga vermelho,Inga alba,Fabaceae,20.5,O,FALSE,NA,17.57,23.12,3.7,2,4.3,1.2,20141115,732146.4966,9634296.963
SAN_A02,2,7,80,morta,NA,NA,79.5,O,TRUE,3,NA,15.03,NA,NA,NA,NA,20141115,732138.5724,9634278.31
SAN_A02,2,7,81,cupiuba,Goupia glabra,Goupiaceae,73.5,O,FALSE,NA,25.48,34.9,6,5.2,4.8,5.5,20141115,732104.6275,9634257.283
SAN_A02,2,7,82,inga,Inga marginata,Fabaceae,39.5,O,FALSE,NA,17.25,23.57,5.3,1.4,3,8.2,20141115,732099.5788,9634264.322
SAN_A02,2,7,83,pente-de-macaco,Apeiba petoumo,Malvaceae,41.7,O,FALSE,NA,12.97,20.47,4,5,4.2,5,20141115,732106.1223,9634266.632
SAN_A02,2,7,84,acariquara,Minquartia guianensis,Olacaceae,36.3,O,FALSE,NA,11.04,21.88,4,3,2.6,3.7,20141115,732107.4569,9634281.366
SAN_A02,2,7,85,sucupira,Diplotropis sp.,Fabaceae,48.3,O,FALSE,NA,16.73,26,8.8,1.7,3.5,12,20141115,732115.1912,9634285.135
SAN_A02,2,7,86,embauba,Cecropia ficifolia,Urticaceae,37.2,O,FALSE,NA,15.65,24.93,8,3.3,5.2,4.7,20141115,732127.3141,9634284.624
