Especie,GrupoEco
Mauriri chamissoana,Others
Mauritia flexuosa,Others
Mayna odorata,Others
Maytenus myrsinoides,Others
Metrodorea flavida,Others
Mezilaurus itauba,Others
Miconia poeppigii,Others
Miconia pyrifolia,Others
Miconia surinamensis,Others
Micrandra minor,Others
Micropholis acutangula,Others
Micropholis crassipedicellata,Others
Micropholis sp.,Others
Micropholis venulosa,Others
Mimosa hostilis,Others
Minquartia guianensis,Shade-tolerant
Mouriri collocarpa,Others
Mucuna rostrata,Others
Myrcia deflexa,Others
Myrcia fallax,Others
Myrcia splendens,Others
Myrcia velutina,Others
Myrciaria floribunda,Others
Myrocarpus frondosus,Others
Myroxylon peruiferum,Others
Nectandra cuspidata,Intermediate
Neea oppositifolia,Shade-tolerant
Ocotea canaliculata,Others
Ocotea caudata,Intermediate
Ocotea cernua,Intermediate
Ocotea glomerata,Intermediate
Ocotea rubra,Intermediate
Ocotea sp.,Intermediate
Oenocarpus bacaba,Others
Oenocarpus bataua,Others
Oenocarpus mapora,Others
Orbignya phalerata,Others
Ormosia amazonica,Others
Ormosia coccinea,Others
Ormosia excelsa,Others
Ormosia flava,Others
Ormosia grossa,Others
Ormosia nobilis,Others
Ormosia sp.,Others
Pachira paraensis,Others
Parahancornia amapa,Intermediate
Parahancornia fasciculata,Others
Parahancornia sp.,Others
Parinari excelsa,Others
Parkia gigantocarpa,Others
Parkia multijuga,Others
Parkia nitida,Others
Parkia paraensis,Others
Parkia pendula,Others
Parkia sp.,Others
Peltogyne lecointei,Others
Peltogyne paniculata,Others
Piptadenia cobi,Others
Platonia insignis,Others
Platymiscium filipes,Intermediate
Platymiscium trinitatis,Others
Poecilanthe effusa,Intermediate
Poeppigia procera,Others
Poeppigia sp.,Others
Pourouma guianensis,Pioneer
Pourouma minor,Pioneer
Pourouma villosa,Others
Pouteria anibifolia,Others
Pouteria caimito,Others
Pouteria cladantha,Shade-tolerant
Pouteria decorticans,Others
Pouteria gongrijpii,Others
Pouteria guianensis,Others
Pouteria hispida,Others
Pouteria jariensis,Shade-tolerant
Pouteria krukovii,Others
Pouteria macrophylla,Shade-tolerant
Pouteria oppositifolia,Others
Pouteria reticulata,Shade-tolerant
Pouteria retinervis,Others
Pouteria sp.,Shade-tolerant
Pouteria venosa,Others
Pradosia cochlearia,Others
Pradosia praealta,Others
Protium hebetatum,Others
Protium heptaphyllum,Others
Protium paniculatum,Others
Protium robustum,Others
Protium sp.,Others
Protium spruceanum,Others
Pseudopiptadenia psilostachya,Others
Pseudopiptadenia suaveolens,Intermediate
Pterocarpus sp.,Others
Qualea paraensis,Others
Quararibea guianensis,Others
Quiina florida,Others
Rhabdodendron amazonicum,Others
Rheedia gardneriana,Others
Rinorea guianensis,Shade-tolerant
Rinorea passoura,Others
Rinorea pubiflora,Others
Rinorea racemosa,Others
Rollinia exsucca,Others
Sacoglottis guianensis,Others
Sacoglottis sp.,Others
Sagotia racemosa,Intermediate
Sapindus sp.,Others
Sapium marmieri,Others
Schefflera morototoni,Others
Schizolobium amazonicum,Others
Sextonia rubra,Others
Simaba cedron,Others
Simarouba amara,Others
Siparuna decipiens,Others
Sloanea guianensis,Others
Socratea exorrhiza,Others
Solanum absconditum,Others
Spondias mombin,Others
Spondias sp.,Others
Sterculia pruriens,Others
Sterigmapetalum obovatum,Others
Strychnos subcordata,Others
Stryphnodendron paniculatum,Others
Stryphnodendron pulcherrimum,Others
Swartzia corrugata,Others
Swartzia laevicarpa,Others
Swartzia polyphylla,Others
Swartzia sp.,Others
Swietenia macrophylla ,Others
Syagrus cocoides,Others
Symphonia globulifera,Others
Tabebuia chrysotricha,Others
Tabebuia roseo-alba,Others
Tabebuia serratifolia,Emergent
Tabernaemontana cymosa,Others
Tachigali alba,Others
Tachigali myrmecophila,Others
Tachigali paniculata,Intermediate
Tachigali sp.,Others
Talisia longifolia,Others
Tamarindus indica,Others
Tapirira guianensis,Others
Tapura singularis,Others
Tectona grandis,Others
Terminalia amazonia,Others
Tetragastris altissima,Intermediate
Tetragastris panamensis,Intermediate
Tetragastris sp.,Intermediate
Theobroma glaucum,Others
Theobroma grandiflorum,Others
Theobroma subincanum,Others
Thyrsodium paraense,Others
Thyrsodium spruceanum,Others
Tovomita sp.,Others
Trattinnickia burseraefolia,Others
Trema micrantha,Others
Trichilia micrantha,Shade-tolerant
Vantanea parviflora,Others
Vatairea guianensis,Others
Vatairea sericea,Others
Vatairea sp.,Others
Vataireopsis speciosa,Others
Virola crebrinervia,Others
Virola elongata,Others
Virola melinoni,Others
Virola michelii,Others
Virola mollissima,Others
Virola sebifera,Others
Vismia floribunda,Others
Vismia guianensis,Pioneer
Vismia latifolia,Others
Vitex triflora,Others
Vochysia guianensis,Others
Vochysia maxima,Others
Vochysia micrantha,Others
Vochysia sp.,Others
Vochysia vismiifolia,Others
Ximenia americana,Others
Xylopia amazonica,Others
Xylopia cayennensis,Others
Xylopia nitida,Intermediate
Xylopia sp.,Others
Xylosma tessmannii,Others
Zanthoxylum rhoifolium,Pioneer
Ziziphus itacaiunensis,Shade-tolerant
Ziziphus sp.,Others
Zollernia paraensis,Shade-tolerant
Zygia racemosa,Others
