Area,plot,tree,common_name,scienfic_name,family_name,WSD,DBH,BA,AGB,type,Dead,D_class,Hcom,Htot,RN,RS,RL,RO,Date,UTM Easting,UTM Northing
SFX_A01,P01,1,NI,NI,NI,0.62,11.3,0.010028749,NA,O,A,NA,NA,NA,1.7,1.2,1.1,2,20111021,289203.7971,9289380.8841
SFX_A01,P01,2,NI,NI,NI,0.62,10.9,0.009331316,NA,O,A,NA,NA,NA,1.2,1.5,1,1.5,20111021,289203.7971,9289335.6841
SFX_A01,P01,3,PARAPARA,Jacaranda copaia,Bignoniaceae,0.35,16.12,0.020408917,NA,O,A,NA,NA,NA,1.3,1,1,1.3,20111021,289204.7971,9289376.5841
SFX_A01,P01,4,EMBAUBA,Cecropia ficifolia,Urticaceae,0.27,29.5,0.068349275,NA,O,A,NA,NA,NA,2.3,2.1,13.4,0,20111021,289201.7971,9289371.0841
SFX_A01,P01,5,EMBAUBA,Cecropia ficifolia,Urticaceae,0.27,36.2,0.102921717,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20111021,289200.7971,9289370.9841
SFX_A01,P01,6,TACHIUBA,Socratea exorrhiza,Arecaceae,0.62,14.4,0.016286016,0.04549853,P,A,NA,NA,NA,0.3,0.2,0.3,0.4,20111021,289201.7971,9289368.5841
SFX_A01,P01,7,MAMUI,Jacaratia spinosa,Caricaceae,0.27,11,0.009503318,0.011520446,O,A,NA,6.37,7.06,3.2,0.6,1.8,2.2,20111021,289202.7971,9289368.1841
SFX_A01,P01,8,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,0.89,11.7,0.010751315,NA,O,A,NA,NA,NA,2.5,1.9,1.3,1.8,20111021,289203.7971,9289375.4841
SFX_A01,P01,9,INAJA,Attalea maripa,Arecaceae,0.33,29.3,0.067425647,0.170173135,P,A,NA,NA,NA,5.5,6,5,6,20111021,289202.7971,9289361.5841
SFX_A01,P01,10,MARIMARI,Cassia fastuosa,Fabaceae,0.81,11.6,0.010568318,NA,O,A,NA,NA,NA,1.8,1.8,1.7,1.9,20111021,289184.7971,9289360.5841
SFX_A01,P01,11,PARICA,Schizolobium amazonicum,Fabaceae,0.49,19.2,0.028952918,NA,O,A,NA,NA,NA,1.8,1.3,1.4,1.8,20111021,289184.7971,9289358.7841
SFX_A01,P01,12,CAUCHO,Castilla ulei,Moraceae,0.82,14.8,0.017203361,NA,O,A,NA,NA,NA,1.1,0.6,1.8,0,20111021,289182.7971,9289355.5841
SFX_A01,P01,13,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,0.41,27.2,0.058106898,0.464425677,O,A,NA,19.78,30.08,1.8,2.4,1.3,2.4,20111021,289182.7971,9289356.5841
SFX_A01,P01,14,CAUCHO,Castilla ulei,Moraceae,0.82,11.3,0.010028749,NA,O,A,NA,NA,NA,1.7,2.3,1.4,1.3,20111021,289186.7971,9289355.5841
SFX_A01,P01,15,GUARIUBA,Clarisia racemosa,Moraceae,0.59,13.4,0.014102609,NA,O,A,NA,NA,NA,0.4,0.3,0.6,0.8,20111021,289199.7971,9289352.5841
SFX_A01,P01,16,NI,NI,NI,0.62,10.7,0.008992024,NA,O,A,NA,NA,NA,0.3,0.3,0.3,0.3,20111021,289200.7971,9289349.5841
SFX_A01,P01,17,CACAU,Theobroma glaucum,Malvaceae,0.53,13.1,0.013478218,NA,O,A,NA,NA,NA,1.5,0.9,1.8,1.1,20111021,289179.7971,9289357.5841
SFX_A01,P01,18,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,0.41,10.7,0.008992024,NA,O,A,NA,NA,NA,1.3,1.3,1.2,1.5,20111021,289200.7971,9289346.5841
SFX_A01,P01,19,TACHIUBA,Socratea exorrhiza,Arecaceae,0.62,15.9,0.019855651,0.054690591,P,A,NA,18.32,22.84,0.8,1,0.9,1.1,20111021,289198.7971,9289345.5841
SFX_A01,P01,20,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,0.89,13,0.013273229,NA,O,A,NA,NA,NA,0.3,0.3,0.8,0.9,20111021,289199.7971,9289346.5841
SFX_A01,P01,21,INGA,Inga marginata,Fabaceae,0.57,11.3,0.010028749,NA,O,A,NA,NA,NA,1.7,2.8,2.2,2.9,20111021,289195.7971,9289340.5841
SFX_A01,P01,22,ENVIRA PRETA,Guatteria schomburgkiana,Annonaceae,0.6,22.7,0.040470782,NA,O,A,NA,NA,NA,4.5,6,0.17,3,20111021,289198.7971,9289338.5841
SFX_A01,P01,23,MARIMARI,Cassia fastuosa,Fabaceae,0.81,22.7,0.040470782,NA,O,A,NA,NA,NA,3.1,1.2,3.6,0,20111021,289206.1971,9289342.5841
SFX_A01,P01,24,TAMANQUEIRA,Zanthoxylum rhoifolium,Rutaceae,0.49,17.6,0.024328494,NA,O,A,NA,NA,NA,2.8,2.9,4.4,2.9,20111021,289205.7971,9289335.5841
SFX_A01,P01,25,IPE,Tabebuia serratifolia,Bignoniaceae,0.92,20.5,0.033006358,NA,O,A,NA,NA,NA,4.6,1.8,3.6,3.1,20111021,289210.7971,9289338.5841
SFX_A01,P01,26,PAU PRETO,Dalbergia melanoxylon,Fabaceae,0.8,55.5,0.241922269,NA,O,A,NA,NA,NA,2.1,4.5,2.6,2.6,20111021,289209.7971,9289341.5841
SFX_A01,P01,27,GRAO DE GALO,Tabernaemontana cymosa,Apocynaceae,0.47,14,0.015393804,NA,O,A,NA,NA,NA,1.4,2,0,3.1,20111021,289216.7971,9289338.5841
SFX_A01,P01,28,JATOBA,Hymenaea courbaril,Fabaceae,0.79,16.6,0.021642432,NA,O,A,NA,NA,NA,1.5,1.6,0.9,1.8,20111021,289210.7971,9289343.0841
SFX_A01,P01,29,UCUUBA,Virola melinoni,Myristicaceae,0.48,15.2,0.018145839,NA,O,A,NA,NA,NA,1.8,1.1,2.6,1,20111021,289213.7971,9289343.5841
SFX_A01,P01,30,INAJA,Attalea maripa,Arecaceae,0.33,33.7,0.089196884,0.220661455,P,A,NA,NA,NA,5.3,4.8,4.7,4.4,20111021,289207.0971,9289346.5841
SFX_A01,P01,31,MATAMATA,Eschweilera parviflora,Lecythidaceae,0.89,11.3,0.010028749,0.048985315,O,A,NA,5.68,8.48,1.7,2,2.2,2.4,20111021,289206.7971,9289347.5841
SFX_A01,P01,32,CACAU,Theobroma glaucum,Malvaceae,0.53,21.9,0.037668481,NA,O,A,NA,NA,NA,1.2,1.9,1.3,2.1,20111021,289210.7971,9289350.5841
SFX_A01,P01,33,UCUUBA,Virola melinoni,Myristicaceae,0.48,23,0.041547563,0.276219667,O,A,NA,17.64,21.54,1.2,1.1,1,1.8,20111021,289211.7971,9289350.5841
SFX_A01,P01,34,MATAMATA,Eschweilera parviflora,Lecythidaceae,0.89,14.6,0.016741547,NA,O,A,NA,NA,NA,1.6,2,1,2.1,20111021,289209.7971,9289350.0841
SFX_A01,P01,35,CACAU,Theobroma glaucum,Malvaceae,0.53,19.4,0.029559245,NA,O,A,NA,NA,NA,1.6,1.1,0.2,1.1,20111021,289208.7971,9289352.0841
SFX_A01,P01,36,MORTA,NA,NA,0.58,111.7,0.979932649,8.199048089,O,D,3,NA,35.81,NA,NA,NA,NA,20111025,289207.7971,9289351.5841
SFX_A01,P01,37,PAU BRANCO,Rinorea racemosa,Violaceae,0.68,13.4,0.014102609,NA,O,A,NA,NA,NA,1.7,3,2.2,2,20111021,289209.7971,9289355.5841
SFX_A01,P01,38,INGA BRANCO,Inga thibaudiana,Fabaceae,0.58,23.7,0.044115029,NA,O,A,NA,NA,NA,4.4,3.2,3.7,3.6,20111021,289218.7971,9289355.1841
SFX_A01,P01,39,EMBAUBA,Cecropia ficifolia,Urticaceae,0.27,16.9,0.022431757,NA,O,A,NA,NA,NA,3.2,2.1,1.2,2.8,20111021,289218.7971,9289353.5841
SFX_A01,P01,40,EMBAUBA,Cecropia ficifolia,Urticaceae,0.27,17.1,0.022965828,NA,O,A,NA,NA,NA,3.2,2.1,1.2,2.8,20111021,289218.7971,9289353.5841
SFX_A01,P01,41,LOURO PRETO,Nectandra cuspidata,Lauraceae,0.56,44.2,0.153438527,2.083963314,O,A,NA,28.82,37.42,3.4,3.2,0,13.4,20111021,289224.7971,9289352.5841
SFX_A01,P01,42,PAU PRETO,Dalbergia melanoxylon,Fabaceae,0.8,24,0.045238934,0.221644242,O,A,NA,3.68,9.44,3,8.6,6.8,2,20111021,289226.7971,9289353.5841
SFX_A01,P01,43,PAU PRETO,Dalbergia melanoxylon,Fabaceae,0.8,22.1,0.038359632,NA,O,A,NA,NA,NA,2.3,2,3,2.1,20111021,289226.7971,9289353.5841
SFX_A01,P01,44,PAU PRETO,Dalbergia melanoxylon,Fabaceae,0.8,31.9,0.079922903,NA,O,A,NA,NA,NA,3.3,0.7,3.8,2.5,20111021,289221.7971,9289357.5841
SFX_A01,P01,45,TUCUMA,Astrocaryum aculeatum,Arecaceae,0.51,28.2,0.062458004,0.158500429,P,A,NA,NA,NA,3.8,4.1,3.4,4.2,20111021,289223.7971,9289356.5841
SFX_A01,P01,46,TACHIUBA,Socratea exorrhiza,Arecaceae,0.62,16.5,0.021382465,0.058584918,P,A,NA,NA,NA,1.7,1.6,1.8,1.6,20111021,289232.7971,9289358.5841
SFX_A01,P01,47,CACAU,Theobroma glaucum,Malvaceae,0.53,12.5,0.012271846,NA,O,A,NA,NA,NA,1.8,1.2,1.7,1.6,20111021,289212.7971,9289358.5841
SFX_A01,P01,48,CAUCHO,Castilla ulei,Moraceae,0.82,20.7,0.033653526,NA,O,A,NA,NA,NA,2.6,2.4,3.6,0,20111021,289207.7971,9289359.0841
SFX_A01,P01,49,INGA VERMELHO,Inga alba,Fabaceae,0.59,31,0.075476764,NA,O,A,NA,NA,NA,3.6,5.6,4.1,4.9,20111021,289209.7971,9289362.5841
SFX_A01,P01,50,INAJA,Attalea maripa,Arecaceae,0.33,19.7,0.030480517,0.081422011,P,A,NA,NA,NA,3,4.7,3.4,4,20111021,289212.7971,9289362.5841
SFX_A01,P01,51,BREU,Protium heptaphyllum,Burseraceae,0.62,17.3,0.023506182,NA,O,A,NA,NA,NA,2.7,3.5,2.9,2.3,20111021,289224.7971,9289361.5841
