area;transect;tree;common_name;scientific_name;family_name;WSD;DBH;BA;AGB;area_sampled;BA_AS;AGB_AS;type;canopy;light;dead;d_class;Hcom;Htot;RN;RS;RE;RW;date;UTM_Easting;UTM_Northing;;;;;;;;;;;;;;;
JAM_A01;T07;23;TAUARI;Couratari stellata;Lecythidaceae;0.63;20.6;0.033329156;0.453316068;0.206;0.161792022;2.200563435;O;E;1;A;NA;20.72;33.15;1.5;1.8;1.3;1.9;20111208;522941.2278;8998215.952;;;;;;;;;;;;;;;
JAM_A01;T07;24;PEDRA UMI;NI;NI;0.62;11;0.009503318;0.061075566;0.11;0.086393798;0.55523242;O;S;3;A;NA;10.37;15.99;1.6;1.5;2;1.1;20111208;522941.1979;8998210.351;;;;;;;;;;;;;;;
JAM_A01;T07;25;COPAIBA;Copaifera reticulata;Fabaceae;0.61;30.2;0.071631454;0.92512551;0.302;0.237190245;3.063329502;O;C;2;A;NA;23.63;32.80;2.6;2.5;2.3;2.6;20111208;522941.3405;8998206.953;;;;;;;;;;;;;;;
JAM_A01;T07;26;AMARELAO;Aspidosperma parvifolium;Apocynaceae;0.74;70;0.3848451;10.43130312;0.7;0.549778714;14.9018616;O;E;1;A;NA;31.27;56.78;8.4;10.8;5;9;20111208;522938.366;8998196.915;;;;;;;;;;;;;;;
JAM_A01;T07;27;MUTUTI;Pterocarpus sp.;Fabaceae;0.51;23.2;0.042273271;0.279243099;0.232;0.182212374;1.203634048;O;S;2;A;NA;12.33;19.90;0.8;1.5;0.6;1.2;20111208;522941.3472;8998190.451;;;;;;;;;;;;;;;
JAM_A01;T07;28;TUCUMA;Astrocaryum aculeatum;Arecaceae;NA;19.6;0.030171856;0.080656165;0.196;0.15393804;0.411511047;P;S;3;A;NA;3.87;6.59;0.3;0.2;2.6;3.4;20111208;522940.3912;8998186.939;;;;;;;;;;;;;;;
JAM_A01;T07;29;INHARE;Helicostylis sp.;Moraceae;0.65;16;0.020106193;0.212710642;0.16;0.125663706;1.329441512;O;C;2;A;NA;18.46;25.02;2;1.4;1.6;1.5;20111208;522941.9412;8998182.958;;;;;;;;;;;;;;;
JAM_A01;T07;30;LOURO PRETO;Nectandra cuspidata;Lauraceae;0.56;31.1;0.075964496;0.4893891;0.311;0.244258829;1.573598393;O;S;2;A;NA;13.12;17.75;1.7;1.6;4;1;20111208;522941.9712;8998180.558;;;;;;;;;;;;;;;
JAM_A01;T07;31;INHARE;Helicostylis sp.;Moraceae;0.65;7.6;0.00453646;0.016069932;0.076;0.05969026;0.211446473;O;S;3;A;NA;4.82;8.38;1.7;2.1;2;2;20111208;522941.9664;8998172.958;;;;;;;;;;;;;;;
JAM_A01;T07;32;BURRA LEITEIRA;Sapium marmieri;Euphorbiaceae;0.41;14.2;0.015836769;0.086615506;0.142;0.111526539;0.609968353;O;S;2;A;NA;14.25;20.58;1;1.1;1.3;1.5;20111208;522941.4366;8998167.351;;;;;;;;;;;;;;;
JAM_A01;T07;33;CANELA DE VEADO;Amaioua guianensis;Rubiaceae;0.63;9.1;0.006503882;0.024598793;0.091;0.071471233;0.270316406;O;S;3;A;NA;6.17;9.34;1.7;1;1.1;1.5;20111208;522942.8109;8998145.466;;;;;;;;;;;;;;;
JAM_A01;T07;34;ACARIQUARA;Minquartia guianensis;Olacaceae;0.77;6.6;0.003421194;0.015615222;0.066;0.051836279;0.236594278;O;S;3;A;NA;5.63;9.15;1;1.6;1.2;1.7;20111208;522942.8663;8998133.066;;;;;;;;;;;;;;;
JAM_A01;T07;35;CASTANHEIRA;Bertholletia excelsa;Lecythidaceae;0.64;12.6;0.012468981;0.235051897;0.126;0.098960169;1.865491243;O;E;1;A;NA;27.18;45.45;6.1;5.2;10.8;5.6;20111208;522933.0184;8998128.842;;;;;;;;;;;;;;;
JAM_A01;T07;36;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;48.4;0.183984232;2.602395885;0.484;0.380132711;5.376851003;O;C;2;A;NA;19.84;30.84;3.8;3.8;4.4;3.2;20111208;522939.1182;8998120.918;;;;;;;;;;;;;;;
JAM_A01;T07;37;MUIRATINGA;Brosimum rubescens ;Moraceae;0.83;15.1;0.017907864;0.104272454;0.151;0.118595123;0.690546055;O;S;2;A;NA;7.87;10.89;2.4;0;1.7;1.3;20111208;522941.7733;8998108.55;;;;;;;;;;;;;;;
JAM_A01;T07;38;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;32.3;0.081939805;0.840287039;0.323;0.253683607;2.60150786;O;C;2;A;NA;12.52;22.36;2.3;2.2;2.1;2.5;20111208;522942.8121;8998105.463;;;;;;;;;;;;;;;
JAM_A01;T07;39;ROXINHO;Peltogyne leicointei;Fabaceae;0.76;9.6;0.007238229;0.028138111;0.096;0.075398224;0.293105327;O;S;2;A;NA;5.24;7.86;1.3;1.2;1.4;0.9;20111208;522943.0509;8998102.366;;;;;;;;;;;;;;;
JAM_A01;T07;40;INHARE;Helicostylis sp.;Moraceae;0.65;10.5;0.008659015;0.040151999;0.105;0.082466807;0.38239999;O;S;2;A;NA;5.94;10.97;1.1;1.8;1.3;1.3;20111208;522943.1509;8998102.367;;;;;;;;;;;;;;;
JAM_A01;T07;41;MATA MATA BRANCO;Eschweilera coriacea;Lecythidaceae;0.85;6.7;0.003525652;0.007836133;0.067;0.052621677;0.116957216;O;S;3;A;NA;2.14;4.03;1.2;0.5;1.1;1.3;20111208;522943.2859;8998099.569;;;;;;;;;;;;;;;
JAM_A01;T07;42;MARAMARA;Miconia pyrifolia;Melastomataceae;0.63;14.7;0.016971669;0.091062304;0.147;0.11545353;0.619471457;O;S;2;A;NA;9.90;13.11;2.4;1.8;1.7;2.2;20111208;522943.3064;8998081.967;;;;;;;;;;;;;;;
JAM_A01;T07;43;COPAIBA;Copaifera reticulata;Fabaceae;0.61;15;0.017671459;0.16493047;0.15;0.117809725;1.099536468;O;S;3;A;NA;17.48;23.71;2.6;0.4;0.9;1;20111208;522942.3648;8998073.31;;;;;;;;;;;;;;;
JAM_A01;T07;44;BARBATIMAO;Stryphnodendron pulcherrimum;Fabaceae;0.47;15.2;0.018145839;0.079780712;0.152;0.119380521;0.524873107;O;S;3;A;NA;7.53;14.43;1.9;1.1;1.2;2.1;20111208;522943.7194;8998070.329;;;;;;;;;;;;;;;
JAM_A01;T07;45;INGA AMARELO;Inga sp.;Fabaceae;0.58;16.2;0.020611989;0.188546301;0.162;0.127234502;1.163866057;O;C;2;A;NA;16.18;24.49;1.5;2;0;2.5;20111208;522943.6534;8998067.73;;;;;;;;;;;;;;;
JAM_A01;T07;46;GOIABAO;Pradosia praealta;Sapotaceae;0.73;61;0.292246657;5.859336652;0.61;0.47909288;9.605469921;O;E;1;A;NA;31.34;42.30;4.3;3.8;4;4;20111208;522938.3632;8998061.668;;;;;;;;;;;;;;;
JAM_A01;T07;47;ROXINHO;Peltogyne leicointei;Fabaceae;0.76;24.2;0.045996058;0.32045081;0.242;0.190066356;1.3241769;O;S;3;A;NA;8.54;14.08;1;1.1;0.8;0.7;20111208;522944.5731;8998061.546;;;;;;;;;;;;;;;
JAM_A01;T07;48;MORTA;NI;NI;0.6;6.2;0.003019071;0.005360008;0.062;0.048694686;0.086451737;O;NA;NA;D;1;NA;5.16;NA;NA;NA;NA;20111208;522944.6659;8998059.748;;;;;;;;;;;;;;;
JAM_A01;T07;49;QUARUBA BRANCA;Vochysia maxima;Vochysiaceae;0.49;85.3;0.571462772;9.211051207;0.853;0.669944633;10.79841877;O;E;1;A;NA;37.62;50.76;5.5;4.6;5.3;5.9;20111208;522941.5456;8998050.415;;;;;;;;;;;;;;;
JAM_A01;T07;50;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;27.6;0.05982849;0.802505349;0.276;0.216769893;2.907628075;O;S;2;A;NA;22.21;29.24;2.7;2.1;2;3.4;20111208;522944.3485;8998048.452;;;;;;;;;;;;;;;
JAM_A01;T07;51;LIANA;NA;NA;NA;9.4;0.006939778;0.012149531;0.094;0.073827427;0.129250329;L;NA;NA;A;NA;NA;NA;NA;NA;NA;NA;20111208;522944.4692;8998048.053;;;;;;;;;;;;;;;
JAM_A01;T07;52;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;54;0.229022104;3.082033377;0.54;0.424115008;5.707469217;O;C;2;A;NA;13.12;29.34;6.2;5.1;4.7;5.2;20111208;522945.6611;8998030.78;;;;;;;;;;;;;;;
JAM_A01;T07;53;MARIA PRETA;Zizyphus itacaiunensis;Rhamnaceae;0.84;26.5;0.055154586;0.557136139;0.265;0.208130513;2.102400523;O;C;1;A;NA;11.34;18.61;1.5;5;2.1;1.8;20111208;522945.513;8998010.392;;;;;;;;;;;;;;;
JAM_A01;T07;54;MORTA;NI;NI;0.7;7.7;0.004656626;0.01084642;0.077;0.060475659;0.140862596;O;NA;NA;D;2;NA;5.96;NA;NA;NA;NA;20111208;522948.409;8997987.244;;;;;;;;;;;;;;;
JAM_A01;T07;55;SABOEIRA AMARELA;Sapindus sp.;Sapindaceae;0.67;28.3;0.062901754;0.545738869;0.283;0.22226768;1.928405898;O;s;1;A;NA;14.90;20.08;4.2;3.4;3.6;1.6;20111208;522946.0002;8997973.823;;;;;;;;;;;;;;;
JAM_A01;T07;56;MORTA;NI;NI;0.7;14.3;0.016060607;0.033981359;0.143;0.112311937;0.237631879;O;NA;NA;D;2;NA;5.30;NA;NA;NA;NA;20111208;522948.997;8997966.166;;;;;;;;;;;;;;;
JAM_A01;T07;57;TUCUMA;Astrocaryum aculeatum;Arecaceae;NA;24.1;0.045616711;0.118392334;0.241;0.189280957;0.491254497;P;S;2;A;NA;14.64;24.07;3.6;2.6;2.2;3.5;20111208;522947.8742;8997974.347;;;;;;;;;;;;;;;
JAM_A01;T07;58;SABOEIRA AMARELA;Sapindus sp.;Sapindaceae;0.67;9.4;0.006939778;0.059377969;0.094;0.073827427;0.631680526;O;S;2;A;NA;8.85;19.80;1;1.4;1;1.4;20111208;522949.0548;8997961.17;;;;;;;;;;;;;;;
JAM_A01;T07;59;ENVIRA TURI;Bocageopsis multiflora;Annonaceae;0.64;13.2;0.013684778;0.166630467;0.132;0.103672558;1.262352026;O;S;3;A;NA;14.01;29.34;3.2;0;2;2.3;20111208;522949.7672;8997953.185;;;;;;;;;;;;;;;
JAM_A01;T07;60;LOURO PRETO;Nectandra cuspidata;Lauraceae;0.56;35.7;0.100098211;0.92644375;0.357;0.280387144;2.595080532;O;C;2;A;NA;12.20;25.50;3.4;2.9;2.5;3.2;20111208;522949.289;8997948.882;;;;;;;;;;;;;;;
JAM_A01;T07;61;MARUPA;Simarouba amara;Simaroubaceae;0.38;60.8;0.290333427;2.533639271;0.608;0.477522083;4.167169854;O;E;1;A;NA;25.93;35.58;3.4;4.5;5;3.8;20111208;522951.0076;8997936.912;;;;;;;;;;;;;;;
JAM_A01;T07;62;MURTA;Strychnos subcordata;Loganiaceae;0.54;23.5;0.043373614;0.379639511;0.235;0.184568568;1.615487282;O;S;3;A;NA;11.54;25.01;2.6;1.7;2.5;2.1;20111208;522950.1498;8997941.897;;;;;;;;;;;;;;;
JAM_A01;T07;63;INGA PELUDO;Inga grandis;Fabaceae;0.58;7.6;0.00453646;0.018343458;0.076;0.05969026;0.241361284;O;S;3;A;NA;4.63;10.82;1.2;1.1;1.5;0.9;20111208;522950.1983;8997942.897;;;;;;;;;;;;;;;
JAM_A01;T07;64;ENVIRA CAJU;Guatteria olivacea;Annonaceae;0.46;37.9;0.112815378;1.072790432;0.379;0.297665904;2.830581615;O;C;1;A;NA;23.61;32.20;3.3;2.6;2.8;2.2;20111208;522950.2787;8997939.401;;;;;;;;;;;;;;;
JAM_A01;T07;65;MAPATIRANA;Pourouma minor;Urticaceae;0.44;7.7;0.004656626;0.014833787;0.077;0.060475659;0.192646589;O;S;3;A;NA;9.02;11.06;1.8;1.2;1.4;1.3;20111208;522951.1604;8997922.323;;;;;;;;;;;;;;;
JAM_A01;T07;66;INHARE;Helicostylis sp.;Moraceae;0.65;14;0.015393804;0.113106426;0.14;0.109955743;0.807903044;O;S;3;A;NA;9.16;17.37;1.7;1.8;1.2;3;20111208;522951.0512;8997918.625;;;;;;;;;;;;;;;
JAM_A01;T07;67;ENVIRA CAJU;Guatteria olivacea;Annonaceae;0.46;39.3;0.121303961;1.316714389;0.393;0.308661478;3.350418293;O;E;1;A;NA;26.62;36.76;4.1;3.1;4;4.2;20111208;522948.7268;8997905.504;;;;;;;;;;;;;;;
JAM_A01;T07;68;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;24.7;0.047916357;0.436930648;0.247;0.193993346;1.768949991;O;S;2;A;NA;15.31;19.88;2.3;2.3;2;2.1;20111208;522951.2391;8997897.541;;;;;;;;;;;;;;;
JAM_A01;T07;69;TAXI BRANCO;Tachigali paniculata;Fabaceae;0.56;58.7;0.27062386;3.99280111;0.587;0.461028722;6.802046184;O;E;1;A;NA;27.58;40.65;3.5;4.1;4.4;4.7;20111208;522952.3866;8997892.759;;;;;;;;;;;;;;;
JAM_A01;T07;70;MATA MATA BRANCO;Eschweilera coriacea;Lecythidaceae;0.85;21.9;0.037668481;0.489523042;0.219;0.172002198;2.23526503;O;S;2;A;NA;13.53;23.54;4.7;4.4;4.3;4.2;20111208;522953.564;8997881.581;;;;;;;;;;;;;;;
JAM_A01;T07;71;TUCUMA;Astrocaryum aculeatum;Arecaceae;NA;19;0.028352874;0.076131344;0.19;0.149225651;0.400691287;P;S;2;A;NA;17.17;26.93;3.7;3.6;3.8;3.7;20111208;522953.7269;8997876.487;;;;;;;;;;;;;;;
JAM_A01;T07;72;INGA VERMELHO;Inga alba;Fabaceae;0.59;21.3;0.035632729;0.359912626;0.213;0.167289809;1.689730637;O;S;3;A;NA;17.86;26.59;2.1;2.6;2.6;1.9;20111208;522954.4497;8997868.302;;;;;;;;;;;;;;;
JAM_A01;T07;73;ABIU VERMELHO;Pouteria cladantha;Sapotaceae;0.94;84;0.554176944;9.866780132;0.84;0.659734457;11.74616682;O;E;1;A;NA;20.14;29.15;2.9;4;5.5;2.4;20111208;522945.6968;8997867.293;;;;;;;;;;;;;;;
JAM_A01;T07;74;INHARE;Helicostylis sp.;Moraceae;0.65;24.7;0.047916357;0.294027928;0.247;0.193993346;1.190396469;O;S;3;A;NA;10.22;14.51;3;2.9;2.5;3.4;20111208;522952.6901;8997861.684;;;;;;;;;;;;;;;
JAM_A01;T07;75;CAÇA PIOLHO;NI;NI;0.62;43.1;0.145896348;1.766373365;0.431;0.338506608;4.098314073;O;C;2;A;NA;19.33;30.13;22.7;2.8;3.2;3.4;20111208;522953.8983;8997859.601;;;;;;;;;;;;;;;
JAM_A01;T07;76;TAXI PRETO;Tachigali myrmecophila;Fabaceae;0.48;31.2;0.076453799;0.61868929;0.312;0.245044227;1.982978493;O;C;2;A;NA;18.17;26.23;2.2;2.6;1.7;3.8;20111208;522952.9809;8997857.99;;;;;;;;;;;;;;;
