Area,trans,tree,common.name,scientific.name,family.name,DBH.09,type.09,canopy.09,light.09,Dead.09,D.class.09,Hcom.09,Htot.09,RN.09,RS.09,RE.09,RW.09,DBH.11,type.11,canopy.11,light.11,Dead.11,D.class.11,X.11,Y.11,Hcom.11,Htot.11,RN.11,RS.11,RE.11,RW.11,UTM.Easting,UTM.Northing
DUC_A01,T02,1352,mato,NA,NA,35.9,O,C,NA,FALSE,NA,NA,18.74,NA,NA,NA,NA,35.9,O,NA,NA,TRUE,1,-0.8,395.9,NA,19.37,NA,NA,NA,NA,175056.2038,9674764.487
DUC_A01,T02,1353,pau branco,Rinorea racemosa,Violaceae,5.9,O,S,3,FALSE,NA,2.74,8.83,1.7,2.6,2.4,2.7,6.1,O,S,3,FALSE,NA,-0.1,378,2.96,9.74,1.7,2.3,2.3,1.5,175059.4616,9674747.483
DUC_A01,T02,1355,andirobarana,Guarea guidonia,Meliaceae,21.8,O,C,3,FALSE,NA,12.88,21.44,4.63,5.27,5.1,2.05,21.8,O,S,3,FALSE,NA,-2.2,374.1,20.53,23.34,3.3,2.9,3.4,1.7,175057.9156,9674743.632
DUC_A01,T02,1356,pau branco,Rinorea racemosa,Violaceae,5.3,O,S,2,FALSE,NA,3.77,8.04,1.36,2.8,2.48,1.3,5.7,O,S,3,FALSE,NA,-0.5,374.1,3.9,8.27,1.2,2.7,1.7,1.9,175059.5968,9674743.884
DUC_A01,T02,1358,jatereu,Lecythis idatimon,Lecythidaceae,15.6,O,C,2,FALSE,NA,20.45,21.8,2.04,0.9,2,3.25,15.7,O,S,2,FALSE,NA,-0.2,368.7,20.61,22.7,1.2,1,1,2.3,175060.6012,9674739.209
DUC_A01,T02,1360,anani,Symphonia globulifera,Clusiaceae,12.6,O,S,2,FALSE,NA,13.93,19.91,3.5,4.55,2.55,3.4,13.2,O,S,2,FALSE,NA,-0.2,365.7,14.11,18.02,2.7,4.3,3.7,3.8,175061.0436,9674736.259
DUC_A01,T02,1362,mato,NA,NA,68.2,O,S,NA,TRUE,4,NA,5.7,NA,NA,NA,NA,68.2,O,NA,NA,TRUE,4,-1,352.6,NA,5.67,NA,NA,NA,NA,175062.1102,9674723.752
DUC_A01,T02,1363,carapanauba,Aspidosperma excelsum,Apocynaceae,33.9,O,C,1,FALSE,NA,20.22,23.57,0.8,3.9,4.2,3.5,35.7,O,D,1,FALSE,NA,-3.3,346.3,17,19.84,1.4,3.2,2.2,1.9,175060.7203,9674717.512
DUC_A01,T02,1365,matamata,Eschweilera parviflora,Lecythidaceae,20.9,O,C,2,FALSE,NA,9.26,17.92,5.97,5.8,5.3,5,21.5,O,S,2,FALSE,NA,-1.3,339,13.34,18.26,4.8,5,5.2,3.8,175063.7598,9674710.73
DUC_A01,T02,1366,andirobarana,Guarea guidonia,Meliaceae,10.9,O,S,3,FALSE,NA,8.54,12.77,1.6,2.85,2.75,1.85,11,O,S,3,FALSE,NA,-0.7,336,8.01,11.13,1.4,2.7,3.5,1.7,175064.707,9674708.459
DUC_A01,T02,1367,muirapiranga,Brosimum rubescens,Moraceae,45.1,O,C,2,FALSE,NA,18.56,25.52,6.8,9.3,5.3,7.25,45.4,O,D,2,FALSE,NA,-2.7,329,30.57,34.37,6.4,5,6.4,6.8,175063.7023,9674701.673
DUC_A01,T02,1368,urucurana,Sloanea guianensis,Elaeocarpaceae,30.6,O,C,1,FALSE,NA,17.36,21.29,4.2,7.75,5.1,4.8,30.5,O,D,2,FALSE,NA,-1.7,325,24.54,29.36,3.7,4.3,3.5,5.5,175065.3105,9674697.692
DUC_A01,T02,1369,breu,Protium heptaphyllum,Burseraceae,12.5,O,S,3,FALSE,NA,8.94,16.46,2.4,2.35,2.2,2.1,12.8,O,S,2,FALSE,NA,-0.4,302,10.59,15.33,1.8,2.8,2.6,2.7,175069.7809,9674676.647
DUC_A01,T02,1371,acariquara,Minquartia guianensis,Olacaceae,48.5,O,E,1,FALSE,NA,NA,18.84,2.2,1,1.1,0.8,51.5,O,E,1,FALSE,NA,-4.4,282.2,NA,25.3,2.2,1.4,1.6,1.8,175069.0487,9674657.428
DUC_A01,T02,1372,matamata branco,Eschweilera coriacea,Lecythidaceae,6.9,O,S,3,FALSE,NA,6.61,8.96,2.2,2.1,2.45,1.6,7.3,O,S,3,FALSE,NA,-0.5,278.7,7.93,10.15,2,1.9,3.2,1.8,175073.5132,9674654.692
DUC_A01,T02,1373,macucu,Licania guianensis,Chrysobalanaceae,8.8,O,C,2,FALSE,NA,11.87,16.3,1.79,1.47,2.4,1.7,9.8,O,E,1,FALSE,NA,-0.8,278.2,7.69,9.22,1.9,1.7,1.9,1.4,175073.3228,9674654.065
DUC_A01,T02,1374,murta,Strychnos subcordata,Loganiaceae,6.8,O,S,3,FALSE,NA,7.93,11.11,1.8,1.4,1.6,2.15,6.9,O,S,2,FALSE,NA,-0.5,277,5.49,10.25,1.6,1.1,1.5,2.3,175073.8273,9674652.974
DUC_A01,T02,1376,ata,Annona crassiflora,Annonaceae,7.8,O,S,3,FALSE,NA,6.78,10.38,1.6,2.1,2.2,1.65,7.6,O,S,2,FALSE,NA,-0.1,273.4,5.95,10.26,1.4,1.8,2,1.3,175074.7441,9674650.182
DUC_A01,T02,1377,casca seca,Licania canescens,Chrysobalanaceae,18.5,O,C,1,FALSE,NA,18.77,23.05,2.95,3.73,4.1,1.38,19.2,O,D,2,FALSE,NA,-0.3,272.9,13.16,24.36,2.1,3.8,3.9,2.1,175074.6521,9674649.573
DUC_A01,T02,1379,jatereu,Lecythis idatimon,Lecythidaceae,12.5,O,S,3,FALSE,NA,9.73,18.68,3,1.85,3.6,1.15,13.3,O,S,3,FALSE,NA,-0.9,266.3,6.74,14.17,3,2.2,2.4,1.6,175075.2133,9674643.164
DUC_A01,T02,1380,grao-de-guariba,Mayna odorata,Achariaceae,12.2,O,S,3,FALSE,NA,7.87,11.49,0.78,1.2,3.5,3.6,12.2,O,S,3,FALSE,NA,-1.6,263.4,4.56,13.17,1.2,2.4,4.4,0.8,175075.0481,9674640.174
DUC_A01,T02,1382,carapanauba,Aspidosperma excelsum,Apocynaceae,15.4,O,C,2,FALSE,NA,10.16,15.61,2.05,1.5,2.8,2.05,16,O,S,2,FALSE,NA,-0.1,260.8,9.47,15.88,1.3,1.6,1.8,2.4,175076.9424,9674638.152
DUC_A01,T02,1383,abiurana,Pouteria gongrijpii,Sapotaceae,24.4,O,C,2,FALSE,NA,14.72,20.21,4.95,3.05,-1,5.17,24.2,O,S,2,FALSE,NA,-0.2,252.2,15.29,29.89,2.2,2.4,-5.2,7,175078.3095,9674630.115
