area,transect,tree,common_name,scientific_name,family_name,type,WSD_10,DBH_10,canopy_10,light_10,dead_10,dclass_10,Hcom_09,Htot_10,RN_10,RS_10,RE_10,RW_10,date_10,WSD_11,DBH_11,canopy_11,light_11,dead_11,dclass_11,Hcom_11,Htot_11,RN_11,RS_11,RE_11,RW_11,date_11,UTM_Easting,UTM_Northing
TAP_A01,T01,2201,NA,NA,NA,O,0.64,12.5,C,2,A,NA,15.31,17.4,2,2.55,2.1,2.7,20100116-20100213,0.64,13.5,S,2,A,NA,15.14,20.76,1.7,1.6,2.3,1.8,20110704-20110711,725722.3,9666889.1
TAP_A01,T01,2202,NA,NA,NA,O,0.64,7.9,S,1,A,NA,5.08,8.24,-0.6,3.3,1.7,2.2,20100116-20100213,0.64,8.2,S,3,A,NA,3.57,6.03,0.5,2.5,1,0.9,20110704-20110711,725732.1,9666888.66
TAP_A01,T01,2203,NA,NA,NA,O,0.64,25.2,C,1,A,NA,18.39,23.88,2.85,4,1.2,4.1,20100116-20100213,0.64,26.4,C,2,A,NA,18.97,21.81,1.7,2.5,1.8,4,20110704-20110711,725736.01,9666889
TAP_A01,T01,2204,NA,NA,NA,O,0.64,19,C,2,A,NA,11.15,18.19,1.75,3.9,3.5,2.9,20100116-20100213,0.64,18.9,S,2,A,NA,13.06,17.38,1.7,1.6,2,1.4,20110704-20110711,725739.41,9666888.9
TAP_A01,T01,2205,NA,NA,NA,O,0.64,54.8,C,2,A,NA,24.43,43.5,8.5,3.25,6.2,7.45,20100116-20100213,0.64,55.3,C,2,A,NA,26.76,31.69,5,3.3,6.2,5.5,20110704-20110711,725744.5,9666891.87
TAP_A01,T01,2206,NA,NA,NA,O,0.64,6.6,S,3,A,NA,3.97,8.76,0.65,1.9,1.45,0.6,20100116-20100213,0.64,6.6,S,3,A,NA,5.35,9.05,0.9,2.8,1.7,1,20110704-20110711,725748.9,9666888.62
TAP_A01,T01,2207,NA,NA,NA,O,0.64,8.1,S,3,A,NA,7.36,10.51,2.35,0.25,0.4,2.05,20100116-20100213,0.64,8.2,S,3,A,NA,8.25,13.07,1.9,0.8,0.8,1.2,20110704-20110711,725762.78,9666887.75
TAP_A01,T01,2208,NA,NA,NA,O,0.7,7.5,S,2,D,2,3.66,9.21,NA,NA,NA,NA,20100116-20100213,0.7,7.5,NA,NA,D,2,NA,9.21,NA,NA,NA,NA,20110704-20110711,725767.58,9666887.76
TAP_A01,T01,2209,NA,NA,NA,O,0.58,90,S,NA,D,3,NA,3.75,NA,NA,NA,NA,20100116-20100213,0.58,90,NA,NA,D,3,NA,3.79,NA,NA,NA,NA,20110704-20110711,725768.29,9666888.09
TAP_A01,T01,2210,NA,NA,NA,O,0.64,16,C,2,A,NA,18.08,20.55,0.15,1.75,2.85,-0.85,20100116-20100213,0.64,16.3,C,2,A,NA,16.27,19.79,1.3,1.3,3.3,1.2,20110704-20110711,725770.09,9666887.74
