area,transect,tree,common_name,scientific_name,family_name,type,WSD_10,DBH_10,canopy_10,light_10,dead_10,dclass_10,Hcom_09,Htot_10,RN_10,RS_10,RE_10,RW_10,date_10,WSD_11,DBH_11,canopy_11,light_11,dead_11,dclass_11,Hcom_11,Htot_11,RN_11,RS_11,RE_11,RW_11,date_11,UTM_Easting,UTM_Northing
TAP_A01,T01,2211,NA,NA,NA,O,0.64,11.2,S,3,A,NA,9.19,16.4,0.95,1.85,3.3,1.15,20100116-20100213,0.64,12.1,S,2,A,NA,13.46,16.93,1.2,1.1,1.4,0.9,20110704-20110711,725771.78,9666887.59
TAP_A01,T01,2212,NA,NA,NA,O,0.64,5.8,S,3,A,NA,1.85,7.55,0.95,2.15,3.8,0.8,20100116-20100213,0.58,5.8,NA,NA,D,3,3.52,5.9,NA,NA,NA,NA,20110704-20110711,725780.48,9666887.43
TAP_A01,T01,2213,BREU,Protium hepytaphillum ,Burseraceae,O,0.629,18,C,2,A,NA,10.08,19.88,2.8,1.15,3.25,4.1,20100116-20100213,0.629,18.4,C,2,A,NA,14.93,19.01,2.2,1.8,2.3,2,20110704-20110711,725785.48,9666887.28
TAP_A01,T01,2214,NA,NA,NA,O,0.64,17,C,1,A,NA,17.19,19.46,1.95,0.45,0.55,1.6,20100116-20100213,0.64,16.4,S,2,A,NA,19.24,23.19,1.3,1.5,1.5,2,20110704-20110711,725791.22,9666888.56
TAP_A01,T01,2215,NA,NA,NA,O,0.58,13,S,NA,D,3,NA,1.45,NA,NA,NA,NA,20100116-20100213,0.58,13,NA,NA,D,3,NA,1.54,NA,NA,NA,NA,20110704-20110711,725794.17,9666887.03
TAP_A01,T01,2216,NA,NA,NA,O,0.64,29,C,2,A,NA,17.42,26.91,2.45,2.1,3.55,3.7,20100116-20100213,0.64,29.5,NA,NA,A,NA,21.92,26.49,2.3,4.1,2.7,2.4,20110704-20110711,725797.85,9666889.42
TAP_A01,T01,2217,NA,NA,NA,O,0.64,5.8,S,3,A,NA,5.68,7.62,0.5,0.85,0.65,0.65,20100116-20100213,0.64,5.8,S,3,A,NA,6.13,7.58,0.7,1,0.8,0.8,20110704-20110711,725807.57,9666886.78
TAP_A01,T01,2218,EMBAUBARANA,Pourouma guianensis,Urticaceae,O,0.38,17,C,2,A,NA,17.73,23.8,3.8,1.7,-0.7,3.2,20100116-20100213,0.38,16.9,S,2,A,NA,18.75,21.43,3.6,-2.2,1.1,1.4,20110704-20110711,725828.57,9666886.31
TAP_A01,T01,2219,AMARELAO,Apuleia leiocarpa,Fabaceae,O,0.77,63.6,E,1,A,NA,32.56,39.96,6.4,10.95,6.65,9.85,20100116-20100213,0.77,64.2,E,1,A,NA,36.12,42.47,7.1,6.6,7.2,9,20110704-20110711,725831.98,9666886.61
TAP_A01,T01,2220,NA,NA,NA,O,0.64,39.2,E,1,A,NA,18.69,30.64,5.5,3.7,3.8,4.2,20100116-20100213,0.64,40.2,E,1,A,NA,24.85,29.29,3.9,3.7,4.7,3.5,20110704-20110711,725834.03,9666888.45
TAP_A01,T01,2221,NA,NA,NA,O,0.64,6.2,S,3,A,NA,1.65,6.28,0.9,3.3,1.3,1.15,20100116-20100213,0.64,6,S,3,A,NA,1.66,6.19,1,2.3,1.4,0.9,20110704-20110711,725834.55,9666885.68
TAP_A01,T01,2222,NA,NA,NA,L,0.58,5.7,E,NA,D,3,NA,NA,NA,NA,NA,NA,20100116-20100213,0.58,5.7,NA,NA,D,3,NA,NA,NA,NA,NA,NA,20110704-20110711,725850.76,9666885.65
TAP_A01,T01,2223,LOURO,Ocotea sp.,Lauraceae,O,0.500567938,9.2,C,2,A,NA,NA,23.12,0.5,1.55,1.6,-1,20100116-20100213,0.500567938,9.3,NA,NA,A,NA,15.39,21.09,NA,NA,NA,NA,20110704-20110711,725853.26,9666885.58
TAP_A01,T01,2224,NA,NA,NA,O,0.64,9.7,S,3,A,NA,6.06,24.14,1.75,1.6,0.25,1.75,20100116-20100213,0.64,10,S,2,A,NA,17.45,18.66,2,1.3,0.8,3.7,20110704-20110711,725854.35,9666885.2
TAP_A01,T01,2225,ANDIROBA,Carapa guianensis,Meliaceae,O,0.568911481,29.6,C,1,A,NA,25.12,31.69,5.1,0.9,1.45,6.15,20100116-20100213,0.568911481,30.5,S,2,A,NA,23.09,28.37,4.5,4.5,3.8,6.9,20110704-20110711,725855.25,9666885.22
TAP_A01,T01,2226,NA,NA,NA,O,0.64,15.4,C,2,A,NA,12.6,17.79,0.25,3,-0.2,3.4,20100116-20100213,0.64,15.9,S,3,A,NA,15.06,17.13,1.6,2,1.3,3,20110704-20110711,725864.15,9666885.21
TAP_A01,T01,2227,NA,NA,NA,O,0.64,13.2,C,2,A,NA,7.89,11.74,1.65,2.95,2.8,4.75,20100116-20100213,0.64,13.4,S,3,A,NA,4.14,10.93,1.8,2,2.3,3.8,20110704-20110711,725868.86,9666885.57
TAP_A01,T01,2228,NA,NA,NA,O,0.64,15.5,C,2,A,NA,3.71,17.44,3.45,3.05,4,1.8,20100116-20100213,0.64,16.4,S,2,A,NA,9.11,16.59,3.3,2.6,3.5,1.6,20110704-20110711,725872.88,9666886.1
TAP_A01,T01,2229,NA,NA,NA,O,0.64,32,C,2,A,NA,16.07,28.61,6.15,6.95,2.95,7.4,20100116-20100213,0.64,32.4,E,1,A,NA,18.32,27.46,5,9.3,3.7,4.2,20110704-20110711,725889.21,9666886.87
TAP_A01,T01,2230,GOIABINHA,Myrcia velutina,Myrtaceae,O,0.801325,25.3,C,2,A,NA,12,22.78,2,2.95,2.6,3.5,20100116-20100213,0.801325,25.5,S,2,A,NA,12.21,17.14,3.3,5.3,4.4,3.1,20110704-20110711,725890.25,9666884.78
TAP_A01,T01,2231,NA,NA,NA,O,0.58,6.9,S,NA,D,3,NA,2.84,NA,NA,NA,NA,20100116-20100213,0.58,6.9,NA,NA,D,3,1.33,2.88,NA,NA,NA,NA,20110704-20110711,725899.88,9666883.9
TAP_A01,T01,2232,NA,NA,NA,O,0.64,61,E,1,A,NA,23.42,30.27,16,1.9,12.3,10.65,20100116-20100213,0.64,61.1,E,1,A,NA,21.49,28.12,5.3,3.4,5.6,4.1,20110704-20110711,725901.48,9666889
TAP_A01,T01,2233,NA,NA,NA,O,0.64,53.5,E,1,A,NA,19.62,31.15,4.7,7.4,3.3,5.8,20100116-20100213,0.64,53.7,E,1,A,NA,23.39,31.31,3.3,4.9,4.3,4.7,20110704-20110711,725901.54,9666884.2
TAP_A01,T01,2234,NA,NA,NA,O,0.64,16.5,C,1,A,NA,11.04,16.86,2.75,1.6,0.7,5.7,20100116-20100213,0.64,16.9,S,2,A,NA,10.69,17.92,1.8,1.2,1.2,4.6,20110704-20110711,725908.04,9666884.21
TAP_A01,T01,2235,NA,NA,NA,O,0.64,12.5,C,2,A,NA,7.03,16.07,2.1,2,2.9,2.65,20100116-20100213,0.64,12.6,S,2,A,NA,11.45,17.5,2.1,1.3,3.4,1.5,20110704-20110711,725933.33,9666883.31
TAP_A01,T01,2236,TAUARI,Couratari stellata,Lecythidaceae,O,0.633164762,142.8,E,1,A,NA,39.74,58.22,15.5,15.25,11.8,12.2,20100116-20100213,0.633164762,144.3,E,1,A,NA,48.58,63.17,8.2,16.4,15.2,13,20110704-20110711,725944.86,9666887.57
TAP_A01,T01,2237,NA,NA,NA,O,0.64,93.5,E,1,A,NA,26.56,41.22,13.75,9.6,17.7,0.8,20100116-20100213,0.64,92.3,E,1,A,NA,39.06,49.46,9.3,12,15.4,2.5,20110704-20110711,725952.36,9666891
TAP_A01,T01,2238,NA,NA,NA,O,0.58,14.8,S,NA,D,3,NA,4.58,NA,NA,NA,NA,20100116-20100213,0.58,14.8,NA,NA,D,3,1.59,4.78,NA,NA,NA,NA,20110704-20110711,725956.51,9666882.57
TAP_A01,T01,2239,NA,NA,NA,O,0.64,12.9,S,2,A,NA,6.36,13.97,2.6,2.95,2.4,2.8,20100116-20100213,0.64,13.1,S,3,A,NA,9.28,14.11,2.6,2.7,2.3,3.1,20110704-20110711,725964.82,9666882.83
TAP_A01,T01,2240,NA,NA,NA,O,0.64,13.3,S,2,A,NA,6.46,12.88,1.05,5.4,3,1.1,20100116-20100213,0.64,12.1,S,3,A,NA,8.19,13.9,1.5,4.4,2.6,1.8,20110704-20110711,725967.3,9666882
TAP_A01,T01,2241,NA,NA,NA,O,0.64,6.4,S,3,A,NA,4.24,7.95,0.65,1.45,0.35,2.6,20100116-20100213,0.64,6.5,S,3,A,NA,4.08,8.09,1.1,1.1,0.8,2.5,20110704-20110711,725973.19,9666881.58
TAP_A01,T01,2242,NA,NA,NA,O,0.64,8,S,3,A,NA,6.64,9.52,2.1,2.65,3.2,2.05,20100116-20100213,0.64,8.2,S,3,A,NA,6.64,9.05,1.9,2,3.6,1.2,20110704-20110711,725974.19,9666881.55
TAP_A01,T01,2243,NA,NA,NA,O,0.64,16,C,2,A,NA,11.3,15.29,2.05,4.6,2.95,4.35,20100116-20100213,0.64,16.3,S,3,A,NA,11.75,16.83,2.6,3.2,3,3.7,20110704-20110711,725984.64,9666881.24
TAP_A01,T01,2244,NA,NA,NA,O,0.64,12.3,C,2,A,NA,11.62,15.22,2.85,0.75,3.3,1.5,20100116-20100213,0.64,10.3,S,2,A,NA,13.54,15.45,2.3,1.1,1.4,2.1,20110704-20110711,725985.82,9666882.21
TAP_A01,T01,2245,NA,NA,NA,O,0.64,10.5,C,2,A,NA,7.15,15.53,2.55,1.8,3.1,2.25,20100116-20100213,0.64,10.5,S,3,A,NA,8.9,16.31,2.5,1.8,2.7,2.5,20110704-20110711,725988.9,9666881.57
TAP_A01,T01,2246,NA,NA,NA,O,0.64,18,C,2,A,NA,12.68,20.24,4.5,1,1.65,3.3,20100116-20100213,0.64,18,S,3,A,NA,14.72,18.51,3,1.5,1.8,2.1,20110704-20110711,725993.9,9666881.67
TAP_A01,T01,2247,NA,NA,NA,O,0.64,29.1,E,1,A,NA,21.29,26.86,3.9,3.05,3.7,4.8,20100116-20100213,0.64,29.5,C,1,A,NA,21.34,28.24,3.8,2.7,2.4,3.8,20110704-20110711,725999.01,9666881.72
TAP_A01,T01,2248,NA,NA,NA,O,0.64,8.6,S,3,A,NA,9.71,14.14,2.05,1.95,2.1,2.15,20100116-20100213,0.64,9.4,S,2,A,NA,3.48,15.06,2.3,1.3,2.1,2,20110704-20110711,726005.88,9666880.76
TAP_A01,T01,2249,NA,NA,NA,O,0.64,5.3,S,3,A,NA,2.34,3.49,1.55,-0.9,0.6,0.7,20100116-20100213,0.58,5.3,NA,NA,D,3,1.52,3.05,NA,NA,NA,NA,20110704-20110711,726006.78,9666880.69
TAP_A01,T01,2250,NA,NA,NA,O,0.64,12.7,C,2,A,NA,17.68,24.54,2.7,1.8,0.4,5.2,20100116-20100213,0.64,13.3,S,2,A,NA,16.68,23.07,2,1.2,0.8,1.7,20110704-20110711,726007.8,9666881.46
TAP_A01,T01,2251,NA,NA,NA,O,0.64,16.6,C,2,A,NA,18.92,25.37,3.3,1.75,2.65,1.2,20100116-20100213,0.64,17.3,C,2,A,NA,16.56,21.04,3.1,1.5,2.1,1.5,20110704-20110711,726020.68,9666880.38
TAP_A01,T01,2252,NA,NA,NA,O,0.64,74,E,1,A,NA,33.51,46.75,6.8,7.75,5.85,7.9,20100116-20100213,0.64,75,E,1,A,NA,35.02,42.76,5.7,7.2,6.8,8.7,20110704-20110711,726032.55,9666882.83
TAP_A01,T01,2253,NA,NA,NA,O,0.64,22.5,C,2,A,NA,15.41,25.46,4.55,5,6.3,2.65,20100116-20100213,0.64,22.7,S,2,A,NA,20.3,23.98,2.4,4.4,3.5,2.2,20110704-20110711,726037.92,9666881.55
TAP_A01,T01,2254,NA,NA,NA,O,0.64,45,E,1,A,NA,27.25,38.01,9.8,4.9,9.5,2.65,20100116-20100213,0.64,45.9,C,2,A,NA,22.29,26.58,4.7,4.5,3.4,4.6,20110704-20110711,726039.75,9666882.51
TAP_A01,T01,2255,ARATACIU,Sagotia racemosa,Euphorbiaceae,O,0.58,10.3,S,3,A,NA,4.76,12.47,0.75,2.25,2.05,1.4,20100116-20100213,0.58,10.4,S,3,A,NA,7.42,13.16,1.1,2.7,2,1.8,20110704-20110711,726045.47,9666879.69
TAP_A01,T01,2256,NA,NA,NA,O,0.64,6,S,3,A,NA,4.58,7.38,0.85,3.2,2.25,1.25,20100116-20100213,0.64,6.1,S,2,A,NA,4.3,7.07,1.2,2.2,2.3,0.8,20110704-20110711,726048.47,9666879.7
TAP_A01,T01,2257,NA,NA,NA,L,0.45,5,S,NA,D,4,NA,NA,NA,NA,NA,NA,20100116-20100213,0.45,5,NA,NA,D,4,NA,NA,NA,NA,NA,NA,20110704-20110711,726049.66,9666879.52
TAP_A01,T01,2258,NA,NA,NA,O,0.64,11.8,S,3,A,NA,4.95,14.48,2.6,1.6,5.6,0.4,20100116-20100213,0.64,12.8,S,2,A,NA,6.6,16.06,1.5,2.3,6.6,0.7,20110704-20110711,726058.38,9666879.76
TAP_A01,T01,2259,NA,NA,NA,O,0.64,17,C,2,A,NA,16.62,20.08,1.8,1.85,1.35,2.7,20100116-20100213,0.64,17.9,S,2,A,NA,7.66,11.8,2.5,2.2,2.6,2.2,20110704-20110711,726070.43,9666879.9
TAP_A01,T01,2260,NA,NA,NA,O,0.64,6,S,3,A,NA,5.13,10.7,3.8,0.9,2.45,0.95,20100116-20100213,0.64,6.2,S,3,A,NA,17.02,20.18,3.2,0.8,3.2,1.1,20110704-20110711,726070.86,9666879.09
TAP_A01,T01,2261,NA,NA,NA,O,0.64,42,C,1,A,NA,19.27,32.13,5.7,7.1,6.1,5.25,20100116-20100213,0.64,43.3,C,2,A,NA,19.22,23.72,4.6,6,7.6,4.6,20110704-20110711,726076.2,9666880.43
TAP_A01,T01,2262,NA,NA,NA,O,0.64,5.8,S,3,A,NA,4.23,8.22,2.3,0.55,2.7,1.35,20100116-20100213,0.64,5.2,S,3,A,NA,4.42,8.64,2.6,0.8,2.8,1.1,20110704-20110711,726077.25,9666878.6
TAP_A01,T01,2263,NA,NA,NA,O,0.64,6.1,S,3,A,NA,8.69,10.61,3.45,-1.55,0.4,2,20100116-20100213,0.64,6,S,2,A,NA,9.09,12.18,1.2,1.1,1.2,1.1,20110704-20110711,726083.44,9666878.22
TAP_A01,T01,2264,NA,NA,NA,O,0.64,13.7,C,2,A,NA,11.89,17.27,3.85,2.1,1.8,4.25,20100116-20100213,0.64,15.3,S,2,A,NA,14.51,17.65,2.6,2.5,2.1,3.4,20110704-20110711,726086.56,9666878.73
TAP_A01,T01,2265,NA,NA,NA,O,0.64,15.7,S,2,A,NA,6.2,14.71,2.15,1.95,5.45,1.35,20100116-20100213,0.64,16.9,S,3,A,NA,8.74,14.65,3.7,2.8,5.3,1.7,20110704-20110711,726089.26,9666878.75
TAP_A01,T01,2266,NA,NA,NA,O,0.64,23.7,C,2,A,NA,15.66,19.6,1.15,2.85,1.85,3.1,20100116-20100213,0.64,24,C,2,A,NA,16.87,21.22,1.9,4,1.8,2,20110704-20110711,726090.4,9666880.21
TAP_A01,T01,2267,ACARIQUARA,Minquartia guianensis,Olacaceae,O,0.77,65.3,E,1,A,NA,24.27,33.69,3.7,4.55,7.75,1.8,20100116-20100213,0.77,65.9,S,2,A,NA,19.61,24.62,4.3,5,5,3.7,20110704-20110711,726103.8,9666883.32
TAP_A01,T01,2268,NA,NA,NA,O,0.64,43.5,C,2,A,NA,20.67,25.15,8.65,0.85,5.4,8.55,20100116-20100213,0.64,44.3,C,2,A,NA,23.97,28.27,8.5,2.7,6,9,20110704-20110711,726115.85,9666877.96
TAP_A01,T01,2269,NA,NA,NA,O,0.64,9.2,S,3,A,NA,4.48,16.39,3.85,2.95,2.95,3.15,20100116-20100213,0.64,9.5,S,2,A,NA,12.41,16.25,4,2.8,4.1,3.5,20110704-20110711,726120.24,9666877.58
TAP_A01,T01,2270,NA,NA,NA,O,0.64,21.3,C,2,A,NA,15.29,21.09,6.35,1.3,4.55,2.25,20100116-20100213,0.64,21.3,S,3,A,NA,17.16,23.6,5.5,2,2.7,2.4,20110704-20110711,726129.89,9666877.55
TAP_A01,T01,2271,NA,NA,NA,O,0.64,7.6,S,3,A,NA,5.59,12.55,1.6,1.5,2.3,1.3,20100116-20100213,0.64,7.9,S,2,A,NA,6.49,12.04,2.3,2,2.4,1.4,20110704-20110711,726130.44,9666877.43
TAP_A01,T01,2272,NA,NA,NA,O,0.64,8.3,S,3,A,NA,4.05,12.5,1.9,2.05,2.6,0.5,20100116-20100213,0.64,8.9,S,3,A,NA,3.87,11.99,2.3,2.4,2.6,1,20110704-20110711,726142.02,9666876.54
TAP_A01,T01,2273,NA,NA,NA,O,0.64,95.2,E,1,A,NA,39.85,50.31,13.55,11.15,13.8,7.7,20100116-20100213,0.64,96.5,E,1,A,NA,42.62,48.67,12.4,8.5,11,8.5,20110704-20110711,726149.11,9666879.68
TAP_A01,T01,2274,MATAMATA,Eschweilera parviflora,Lecythidaceae,O,0.8889275,27,C,2,A,NA,11.02,32.94,3.9,3.95,5,3.6,20100116-20100213,0.8889275,27.2,S,2,A,NA,20.15,27.79,4.2,4.3,4.5,5.2,20110704-20110711,726160.38,9666878.42
TAP_A01,T01,2275,NA,NA,NA,O,0.64,6,S,3,A,NA,5.32,9.72,1.35,1.95,1.5,1.3,20100116-20100213,0.64,6.3,S,2,A,NA,7.35,9.61,1.6,2,1.7,2,20110704-20110711,726163.92,9666876.34
TAP_A01,T01,2276,NA,NA,NA,O,0.64,25.5,C,2,A,NA,14.1,20.85,4.05,4.1,7.85,4.95,20100116-20100213,0.64,25.8,C,2,A,NA,16.86,21.14,4.5,4.3,8.6,4,20110704-20110711,726172.83,9666876.52
TAP_A01,T01,2277,NA,NA,NA,O,0.64,7.4,S,3,A,NA,3.61,9.8,2,2,1.45,2,20100116-20100213,0.64,7.7,S,3,A,NA,2.75,9.9,2.1,2.1,1.8,2.2,20110704-20110711,726187.8,9666875.28
TAP_A01,T01,2278,ANDIROBA,Carapa guianensis,Meliaceae,O,0.568911481,14.9,C,2,A,NA,6.96,14.19,2.1,0.8,0.5,1.5,20100116-20100213,0.568911481,14.9,S,2,A,NA,12.64,16.64,1.7,1.1,1.1,1.5,20110704-20110711,726197.5,9666875.14
TAP_A01,T01,2279,NA,NA,NA,O,0.58,32.1,C,NA,D,3,NA,17.93,NA,NA,NA,NA,20100116-20100213,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,20110704-20110711,726206.76,9666876.97
TAP_A01,T01,2280,TAXI VERMELHO,Tachigali alba,Fabaceae,O,0.560284357,23,E,1,A,NA,21.93,25.82,3.65,1,4.2,3.9,20100116-20100213,0.560284357,23,C,2,A,NA,19.21,22.45,1.4,2.1,1.7,2,20110704-20110711,726216.74,9666876.18
TAP_A01,T01,2281,NA,NA,NA,L,0.64,6.2,C,NA,A,NA,NA,NA,NA,NA,NA,NA,20100116-20100213,0.64,6.4,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,20110704-20110711,726218,9666874.94
TAP_A01,T01,2282,GOIABARANA,Marlierea velutina,Myrtaceae,O,0.936,12.4,S,3,A,NA,10.61,15.69,2.25,3.4,4.25,1.95,20100116-20100213,0.936,12.6,C,2,A,NA,9.75,13.79,4.5,2,3,3.1,20110704-20110711,726218.01,9666875.14
TAP_A01,T01,2283,NA,NA,NA,O,0.64,6.7,S,3,A,NA,6.29,11.93,1.2,0.85,4.15,0.25,20100116-20100213,0.64,7.9,C,2,A,NA,10.83,16.37,2.1,1.3,2.3,0.8,20110704-20110711,726218.1,9666874.94
TAP_A01,T01,2284,NA,NA,NA,O,0.64,42.7,E,1,A,NA,28.88,40.29,10.25,2.7,3.9,6.6,20100116-20100213,0.64,44.9,E,1,A,NA,28.52,39.85,6.8,3.3,2,8.8,20110704-20110711,726217.36,9666873.61
TAP_A01,T01,2285,NA,NA,NA,O,0.64,17.8,C,2,A,NA,16.9,21.86,4.3,-0.25,3.45,-0.45,20100116-20100213,0.64,18.9,S,2,A,NA,17.37,22.37,3.9,1.2,4.4,2.7,20110704-20110711,726210.85,9666873.2
TAP_A01,T01,2286,NA,NA,NA,O,0.64,22.6,C,2,A,NA,21.13,24.87,1.55,1,0.85,1,20100116-20100213,0.64,22.7,S,2,A,NA,18.47,23.21,3.2,2.2,2.2,2,20110704-20110711,726209.82,9666872.38
TAP_A01,T01,2287,NA,NA,NA,O,0.64,16.1,S,3,A,NA,5.6,13.83,4.1,0.35,5.6,0.75,20100116-20100213,0.64,16.3,S,2,A,NA,12.36,15.63,2.7,1.6,6.3,1,20110704-20110711,726206.66,9666873.67
TAP_A01,T01,2288,NA,NA,NA,O,0.64,27.7,C,2,A,NA,16.18,21.09,3.6,2.95,3.6,0.75,20100116-20100213,0.64,27.8,C,2,A,NA,16.46,21.87,2.7,4.7,3,1.5,20110704-20110711,726198.77,9666874.26
TAP_A01,T01,2289,SERINGUEIRA,Hevea brasiliensis,Euphorbiaceae,O,0.492166667,30.8,C,1,A,NA,20.57,26.6,2.6,2.4,1.95,2.35,20100116-20100213,0.492166667,30.8,C,2,A,NA,20.09,26.18,3.4,3,2.3,3.7,20110704-20110711,726196.76,9666873.87
TAP_A01,T01,2290,NA,NA,NA,O,0.64,7.7,S,3,A,NA,4.86,11.21,2.9,1.65,1.45,2.35,20100116-20100213,0.64,8.1,S,3,A,NA,4.59,12.01,2.5,1.7,1.4,3.5,20110704-20110711,726194.78,9666874.43
TAP_A01,T01,2291,NA,NA,NA,O,0.64,6.6,S,3,A,NA,4.92,9.72,1.6,1.7,0.95,1.15,20100116-20100213,0.64,7,S,2,A,NA,3.89,9.34,1.5,1.7,1.5,1.4,20110704-20110711,726189.74,9666874.97
TAP_A01,T01,2292,NA,NA,NA,O,0.64,22.4,C,1,A,NA,17.64,20.71,1.15,1.65,1.85,1,20100116-20100213,0.64,22.9,C,1,A,NA,16.12,21.05,1,2,2.1,1.5,20110704-20110711,726183.87,9666874.5
TAP_A01,T01,2293,NA,NA,NA,O,0.64,6.4,S,3,A,NA,5.27,11.46,3.9,0.6,0.8,1.4,20100116-20100213,0.64,6.4,S,3,A,NA,8.25,11.32,2.3,0.7,0.5,2.1,20110704-20110711,726179.78,9666874.82
TAP_A01,T01,2294,NA,NA,NA,O,0.64,7.9,S,3,A,NA,3.24,8.39,3.85,-0.35,2.85,0.85,20100116-20100213,0.64,8.1,S,2,A,NA,3.1,7.31,4.2,0.5,3.1,1.1,20110704-20110711,726174.89,9666875.06
TAP_A01,T01,2295,NA,NA,NA,O,0.64,17.9,S,2,A,NA,6.52,17.51,3.5,3.6,4.85,1.05,20100116-20100213,0.64,18.9,S,2,A,NA,11.33,16.98,3.7,4,5,2.5,20110704-20110711,726170.45,9666873.94
TAP_A01,T01,2296,NA,NA,NA,O,0.64,6.4,S,2,A,NA,7.9,10.98,1.25,1.7,1.35,1.15,20100116-20100213,0.64,6.7,S,2,A,NA,8.2,11.56,1.9,1.4,1.8,1.4,20110704-20110711,726165.69,9666875.19
TAP_A01,T01,2297,NA,NA,NA,O,0.64,6.5,S,2,A,NA,5.89,10.1,0.9,1.9,1.25,0.5,20100116-20100213,0.64,6.6,S,2,A,NA,7.99,10.71,1.3,1.5,1.5,1.3,20110704-20110711,726161.6,9666875.71
TAP_A01,T01,2298,NA,NA,NA,O,0.64,12.9,S,3,A,NA,14.98,18.62,1.35,3.1,3.7,0.5,20100116-20100213,0.64,13.2,S,2,A,NA,12.27,17.44,2,4.3,3.7,2,20110704-20110711,726154.75,9666875.71
TAP_A01,T01,2299,NA,NA,NA,O,0.64,6.2,S,3,A,NA,1.74,4.68,0.95,2.65,2.6,2.55,20100116-20100213,0.64,6.4,S,3,A,NA,2.97,7.66,1.3,3.1,2.1,3.1,20110704-20110711,726152.8,9666875.77
TAP_A01,T01,2300,NA,NA,NA,O,0.64,17.9,C,2,A,NA,12.54,19.14,1.1,3.1,3.25,2.4,20100116-20100213,0.64,18.1,S,3,A,NA,7.94,16.82,1.4,4.3,3.5,1,20110704-20110711,726149.69,9666875.61
TAP_A01,T01,2301,NA,NA,NA,O,0.64,5.2,S,3,A,NA,2.15,2.8,0.17,0.2,0.24,0.23,20100116-20100213,0.64,5.3,S,3,A,NA,2.15,2.8,0.3,0.3,0.3,0.3,20110704-20110711,726144.71,9666876.36
TAP_A01,T01,2302,BREU VERMELHO,Protium hebetatum,Burseraceae,O,0.5763398,62.8,E,1,A,NA,16.25,27.91,5.3,8.9,9.35,6,20100116-20100213,0.5763398,62.9,S,2,A,NA,15.64,30.69,7.3,11.6,10.4,7.6,20110704-20110711,726140.81,9666876.22
